Time,<Y>,<X>
131 sec,-100.666862757723,-1027.49340446142
131.5 sec,-95.8295743322971,-1030.12737970349
132 sec,-91.6025118332532,-1033.6585448818
132.5 sec,-88.1497191009461,-1037.9498625391
133 sec,-85.6051921148348,-1042.8347952209
133.5 sec,-84.0676788775474,-1048.12376846101
134 sec,-83.5968472024172,-1053.61152778735
134.5 sec,-84.2109691249983,-1059.08510423744
135 sec,-85.8862118019109,-1064.33207925785
135.5 sec,-88.5575624158186,-1069.14882824336
136 sec,-92.1213511928261,-1073.34842280062
136.5 sec,-96.4392746190329,-1076.76788506511
137 sec,-101.343762723264,-1079.27451254618
137.5 sec,-106.644482132469,-1080.77102804516
138 sec,-112.135722529206,-1081.19935478895
138.5 sec,-117.604379857596,-1080.54287027337
139 sec,-122.838226465463,-1078.8270513493
139.5 sec,-127.634147235007,-1076.1184855171
140 sec,-131.806022074244,-1072.52228679885
140.5 sec,-135.19194886549,-1068.17801647348
141 sec,-137.660526562703,-1063.25426698265
141.5 sec,-139.115954603242,-1057.9421191953
142 sec,-139.501750736084,-1052.4477269414
142.5 sec,-138.802942985003,-1046.9843165941
143 sec,-137.046650681019,-1041.76391218076
143.5 sec,-134.30103201541,-1036.98910715448
144 sec,-130.672638956641,-1032.84520214749
144.5 sec,-126.302282181595,-1029.49301382423
145 sec,-121.359566494864,-1027.06263390826
145.5 sec,-116.036308805536,-1025.64838058274
146 sec,-110.539094096634,-1025.30513819034
146.5 sec,-105.081258275149,-1026.04622728175
147 sec,-99.8746090322195,-1027.84288767169
147.5 sec,-95.1212060103078,-1030.62539456421
148 sec,-91.0055192726479,-1034.28576443257
148.5 sec,-87.6872703890818,-1038.68194564385
149 sec,-85.2952339614187,-1043.64333119877
149.5 sec,-83.9222401387219,-1048.977379648
150 sec,-83.6215720649087,-1054.47708724072
150.5 sec,-84.404898066514,-1059.9290213261
